Название	Логическое имя ПК, IP-адрес, DNS-имя	пароль 1	пароль 2	Уведомлять о доступности(1/0)	Дата последней активности
lissibi.ru	8.8.8.8	П1	П2	0	10.08.2017 21:29:21
example.ru	192.168.1.1	П1	П2	0	10.08.2017 21:29:21
lissibi.ru2	lissibi.ru	П1	П2	0	10.08.2017 21:29:21
example.ru2	example.ru	П1	П2	0	10.08.2017 21:29:21
lissibi.ru3	lissibi.ru	П1	П2	0	10.08.2017 21:29:21
example.ru3	example.ru	П1	П2	0	10.08.2017 21:29:21
lissibi.ru4	lissibi.ru	П1	П2	0	10.08.2017 21:29:21
example.ru4	example.ru	П1	П2	0	10.08.2017 21:29:21
lissibi.ru5	lissibi.ru	П1	П2	0	10.08.2017 21:29:21
example.ru5	example.ru	П1	П2	0	10.08.2017 21:29:21
lissibi.ru6	lissibi.ru	П1	П2	0	10.08.2017 21:29:21
example.ru6	example.ru	П1	П2	0	10.08.2017 21:29:21
lissibi.ru	lissibi.ru	П1	П2	0	10.08.2017 21:29:21
example.ru7	example.ru	П1	П2	0	10.08.2017 21:29:21
lissibi.ru	lissibi.ru	П1	П2	0	10.08.2017 21:29:21
example.ru	example.ru	П1	П2	0	10.08.2017 21:29:21
lissibi.ru2	lissibi.ru	П1	П2	0	10.08.2017 21:29:21
example.ru2	example.ru	П1	П2	0	10.08.2017 21:29:21
lissibi.ru3	lissibi.ru	П1	П2	0	10.08.2017 21:29:21
example.ru3	example.ru	П1	П2	0	10.08.2017 21:29:21
lissibi.ru4	lissibi.ru	П1	П2	0	10.08.2017 21:29:21
example.ru4	example.ru	П1	П2	0	10.08.2017 21:29:21
lissibi.ru5	lissibi.ru	П1	П2	0	10.08.2017 21:29:21
example.ru5	example.ru	П1	П2	0	10.08.2017 21:29:21
lissibi.ru88	lissibi.ru	П1	П2	0	10.08.2017 21:29:21
example.ru88	example.ru	П1	П2	0	10.08.2017 21:29:21
lissibi.ru99	lissibi.ru	П1	П2	0	10.08.2017 21:29:21
example.ru99	example.ru	П1	П2	0	10.08.2017 21:29:21
lissibi.ru88	lissibi.ru	П1	П2	0	10.08.2017 21:29:21
example.ru88	example.ru	П1	П2	0	10.08.2017 21:29:21
lissibi.ru99	lissibi.ru	П1	П2	0	10.08.2017 21:29:21
example.ru99	example.ru	П1	П2	0	10.08.2017 21:29:21
lissibi.ru88	lissibi.ru	П1	П2	0	10.08.2017 21:29:21
example.ru88	example.ru	П1	П2	0	10.08.2017 21:29:21
lissibi.ru99	lissibi.ru	П1	П2	0	10.08.2017 21:29:21
example.ru99	example.ru	П1	П2	0	10.08.2017 21:29:21
lissibi.ru88	lissibi.ru	П1	П2	0	10.08.2017 21:29:21
example.ru88	example.ru	П1	П2	0	10.08.2017 21:29:21
lissibi.ru777	lissibi.ru	П1	П2	0	10.08.2017 21:29:21
example.ru777	example.ru	П1	П2	0	10.08.2017 21:29:21
